2017/05/27 19:21:18.057793,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,46
2017/05/27 19:21:18.094852,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,0
2017/05/27 19:21:18.095307,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,46
2017/05/27 19:21:18.134367,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,0
2017/05/27 19:21:19.099542,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,242
2017/05/27 19:21:19.099824,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,732
2017/05/27 19:21:19.100241,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,1368
2017/05/27 19:21:19.100267,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,1368
2017/05/27 19:21:19.100674,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,1368
2017/05/27 19:21:19.101068,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,802
2017/05/27 19:21:19.159896,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,0
2017/05/27 19:21:19.181167,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,0
2017/05/27 19:21:19.422710,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,73
2017/05/27 19:21:19.422804,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,0
2017/05/27 19:21:19.423237,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,46
2017/05/27 19:21:19.423289,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,0
2017/05/27 19:21:19.423521,IP, 172.261.0.12 ,28061, 216.58.207.78 ,443,tcp,46
2017/05/27 19:21:19.462950,IP, 216.58.207.78 ,443, 172.261.0.12 ,28061,tcp,0
2017/05/27 19:21:25.334402,IP, 172.261.0.12 ,37852, 92.123.194.212 ,80,tcp,0
2017/05/27 19:21:25.373892,IP, 92.123.194.212 ,80, 172.261.0.12 ,37852,tcp,0
2017/05/27 19:21:28.864445,IP, 64.233.166.189 ,443, 172.261.0.12 ,10251,tcp,60
2017/05/27 19:21:28.902366,IP, 172.261.0.12 ,10251, 64.233.166.189 ,443,tcp,0
